Id,Empty,Interval,code0,code1,code2
99,true,"[2, 4]",0,0,0
48,true,"[2, 4]",0,0,0
42,false,"[2, 4]",2,2,2
55,true,"[2, 4]",1,2,0
19,true,"[2, 4]",0,0,0
45,false,"[2, 4]",2,0,0
18,true,"[2, 4]",0,0,1
87,true,"[2, 4]",1,2,2
41,true,"[2, 4]",0,0,0
84,true,"[2, 4]",0,0,0
93,true,"[2, 4]",2,2,2
62,true,"[2, 4]",0,0,0
25,false,"[2, 4]",0,1,0
9,true,"[2, 4]",0,0,2
88,true,"[2, 4]",0,0,0
44,true,"[2, 4]",0,0,2
90,false,"[2, 4]",0,0,0
22,false,"[2, 4]",0,2,0
20,true,"[2, 4]",0,0,0
80,true,"[2, 4]",0,0,0
86,true,"[2, 4]",0,0,2
17,false,"[2, 4]",1,2,1
89,false,"[2, 4]",1,2,1
8,false,"[2, 4]",0,2,2
28,false,"[2, 4]",1,1,2
12,true,"[2, 4]",0,0,0
6,true,"[2, 4]",1,1,2
46,true,"[2, 4]",2,1,0
76,true,"[2, 4]",1,0,2
26,true,"[2, 4]",0,0,0
2,true,"[2, 4]",2,1,1
79,true,"[2, 4]",1,0,0
98,false,"[2, 4]",0,2,0
47,true,"[2, 4]",0,0,0
10,false,"[2, 4]",0,0,0
50,true,"[2, 4]",0,0,2
94,false,"[2, 4]",0,0,2
72,false,"[2, 4]",0,0,0
58,true,"[2, 4]",1,0,0
68,true,"[2, 4]",1,1,1
49,true,"[2, 4]",0,1,2
64,true,"[2, 4]",0,0,2
24,true,"[2, 4]",1,0,2
78,true,"[2, 4]",0,0,0
67,true,"[2, 4]",0,0,0
83,true,"[2, 4]",2,1,2
85,false,"[2, 4]",0,2,2
38,false,"[2, 4]",2,2,0
69,false,"[2, 4]",1,1,1
75,false,"[2, 4]",2,2,2
66,true,"[2, 4]",2,1,0
52,false,"[2, 4]",0,1,0
51,false,"[2, 4]",1,2,1
74,true,"[2, 4]",0,0,0
95,false,"[2, 4]",0,0,2
60,false,"[2, 4]",0,0,2
31,true,"[2, 4]",2,0,1
0,true,"[2, 4]",0,0,0
29,true,"[2, 4]",1,1,0
96,true,"[2, 4]",1,1,2
14,false,"[2, 4]",0,2,0
63,true,"[2, 4]",0,2,0
33,true,"[2, 4]",0,1,0
30,true,"[2, 4]",1,0,0
23,true,"[2, 4]",1,1,2
11,true,"[2, 4]",0,0,0
40,true,"[2, 4]",0,0,0
70,true,"[2, 4]",0,1,0
54,true,"[2, 4]",1,2,2
82,true,"[2, 4]",2,1,1
81,true,"[2, 4]",2,0,0
27,false,"[2, 4]",1,0,2
15,true,"[2, 4]",1,2,2
35,false,"[2, 4]",0,1,0
1,false,"[2, 4]",2,0,2
53,true,"[2, 4]",0,0,0
57,true,"[2, 4]",1,2,0
4,true,"[2, 4]",0,0,0
39,true,"[2, 4]",0,0,0
73,true,"[2, 4]",0,0,0
56,true,"[2, 4]",0,0,0
77,true,"[2, 4]",0,0,0
34,true,"[2, 4]",1,1,2
21,true,"[2, 4]",0,0,0
71,true,"[2, 4]",0,2,0
91,true,"[2, 4]",1,1,2
5,true,"[2, 4]",0,0,0
37,true,"[2, 4]",0,2,1
3,false,"[2, 4]",2,2,0
65,false,"[2, 4]",0,2,2
32,false,"[2, 4]",2,1,2
16,false,"[2, 4]",0,2,0
36,false,"[2, 4]",2,2,2
13,false,"[2, 4]",1,0,2
43,true,"[2, 4]",2,0,1
61,false,"[2, 4]",0,1,0
92,false,"[2, 4]",1,2,0
59,true,"[2, 4]",2,0,0
7,false,"[2, 4]",2,1,0
97,false,"[2, 4]",1,2,1
