Id,Empty,Interval,code0,code1,code2
7,true,"[4, 6]",0,1,0
90,false,"[4, 6]",0,0,0
57,true,"[4, 6]",1,2,0
9,true,"[4, 6]",0,0,2
91,true,"[4, 6]",1,0,2
22,false,"[4, 6]",0,2,0
2,true,"[4, 6]",2,1,1
12,true,"[4, 6]",0,0,0
63,true,"[4, 6]",0,2,2
28,true,"[4, 6]",1,1,2
25,true,"[4, 6]",0,1,0
76,true,"[4, 6]",1,0,0
69,true,"[4, 6]",1,1,1
68,true,"[4, 6]",1,1,1
26,true,"[4, 6]",0,0,0
85,false,"[4, 6]",0,2,2
43,true,"[4, 6]",2,0,1
0,true,"[4, 6]",0,0,0
6,true,"[4, 6]",1,1,2
74,true,"[4, 6]",0,0,0
77,true,"[4, 6]",0,0,0
41,true,"[4, 6]",0,0,0
10,true,"[4, 6]",0,0,0
79,true,"[4, 6]",1,0,0
95,false,"[4, 6]",0,0,2
78,true,"[4, 6]",0,0,0
73,true,"[4, 6]",0,0,0
17,false,"[4, 6]",1,2,1
58,true,"[4, 6]",1,0,0
66,true,"[4, 6]",2,1,0
14,false,"[4, 6]",0,2,1
82,true,"[4, 6]",2,1,1
30,true,"[4, 6]",1,0,0
20,true,"[4, 6]",0,0,0
96,true,"[4, 6]",1,1,2
51,true,"[4, 6]",1,2,1
62,true,"[4, 6]",0,0,0
21,true,"[4, 6]",0,0,0
40,true,"[4, 6]",0,2,0
75,false,"[4, 6]",2,2,2
81,true,"[4, 6]",0,0,0
53,true,"[4, 6]",0,0,0
86,true,"[4, 6]",0,0,2
67,true,"[4, 6]",2,0,0
55,true,"[4, 6]",1,2,0
29,true,"[4, 6]",1,1,0
72,false,"[4, 6]",0,0,0
65,false,"[4, 6]",0,2,2
15,true,"[4, 6]",1,2,2
34,true,"[4, 6]",1,1,2
92,false,"[4, 6]",1,2,0
70,true,"[4, 6]",0,1,0
61,false,"[4, 6]",0,1,0
59,true,"[4, 6]",2,0,0
83,true,"[4, 6]",0,1,2
24,true,"[4, 6]",1,0,2
88,true,"[4, 6]",0,0,0
19,true,"[4, 6]",0,0,0
27,true,"[4, 6]",1,0,2
93,true,"[4, 6]",2,2,2
11,true,"[4, 6]",0,0,0
45,false,"[4, 6]",0,0,0
87,true,"[4, 6]",1,2,2
18,true,"[4, 6]",0,0,1
42,false,"[4, 6]",2,2,2
8,false,"[4, 6]",0,2,2
50,true,"[4, 6]",0,0,2
48,true,"[4, 6]",0,0,0
13,false,"[4, 6]",1,0,2
36,false,"[4, 6]",2,2,2
49,true,"[4, 6]",0,1,2
56,true,"[4, 6]",0,2,0
98,false,"[4, 6]",0,2,0
37,true,"[4, 6]",0,0,1
54,true,"[4, 6]",1,2,2
80,true,"[4, 6]",0,0,2
32,false,"[4, 6]",2,0,2
16,false,"[4, 6]",0,2,0
94,false,"[4, 6]",0,0,2
31,true,"[4, 6]",2,2,1
44,true,"[4, 6]",0,0,2
33,true,"[4, 6]",0,1,0
64,true,"[4, 6]",0,0,2
39,true,"[4, 6]",2,0,0
46,true,"[4, 6]",2,1,0
3,false,"[4, 6]",2,2,0
35,false,"[4, 6]",0,1,0
84,true,"[4, 6]",0,0,2
71,true,"[4, 6]",0,2,1
89,false,"[4, 6]",0,2,1
1,false,"[4, 6]",2,0,2
97,true,"[4, 6]",1,2,1
52,false,"[4, 6]",0,0,0
99,true,"[4, 6]",0,2,0
4,true,"[4, 6]",0,0,0
38,false,"[4, 6]",2,2,2
47,true,"[4, 6]",0,0,0
5,true,"[4, 6]",0,0,0
60,false,"[4, 6]",0,0,2
23,true,"[4, 6]",1,1,2
